Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,JPYINR,1001,OPTCUR,CE,51,JPYINR,JPYINR23FEB24C51,JPYINR 23rd FEB24 51 CE,2024-02-23,1,0.0025
CDS,cde_fo,GBPINR,1004,OPTCUR,CE,111.75,GBPINR,GBPINR16FEB24C111.75,GBPINR 16th FEB24 111.75 CE,2024-02-16,1,0.0025
CDS,cde_fo,JPYINR,1006,OPTCUR,PE,51,JPYINR,JPYINR23FEB24P51,JPYINR 23rd FEB24 51 PE,2024-02-23,1,0.0025
CDS,cde_fo,EURINR,1008,OPTCUR,CE,94,EURINR,EURINR29JAN24C94,EURINR JAN24 94 CE,2024-01-29,1,0.0025
CDS,cde_fo,11NSETEST,1009,FUTCUR,XX,-1,11NSETEST,11NSETEST29DEC36F,11NSETEST DEC36 FUT,2036-12-29,1,0.0025
CDS,cde_fo,EURINR,1010,FUTCUR,XX,-1,EURINR,EURINR26JUN24F,EURINR JUN24 FUT,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1011,OPTCUR,PE,94,EURINR,EURINR29JAN24P94,EURINR JAN24 94 PE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1012,FUTCUR,XX,-1,EURINR,EURINR26SEP24F,EURINR 26th SEP24  FUT,2024-09-26,1,0.0025
CDS,cde_fo,GBPINR,1013,OPTCUR,CE,95.25,GBPINR,GBPINR05JAN24C95.25,GBPINR 5th JAN24 95.25 CE,2024-01-05,1,0.0025
CDS,cde_fo,EURUSD,1014,FUTCUR,XX,-1,EURUSD,EURUSD26SEP24F,EURUSD 26th SEP24  FUT,2024-09-26,1,0.0001
CDS,cde_fo,EURINR,1015,FUTCUR,XX,-1,EURINR,EURINR27MAR24F,EURINR MAR24 FUT,2024-03-27,1,0.0025
CDS,cde_fo,EURUSD,1016,FUTCUR,XX,-1,EURUSD,EURUSD26JUN24F,EURUSD JUN24 FUT,2024-06-26,1,0.0001
CDS,cde_fo,EURUSD,1017,FUTCUR,XX,-1,EURUSD,EURUSD27MAR24F,EURUSD MAR24 FUT,2024-03-27,1,0.0001
CDS,cde_fo,GBPINR,1018,FUTCUR,XX,-1,GBPINR,GBPINR26JUN24F,GBPINR JUN24 FUT,2024-06-26,1,0.0025
CDS,cde_fo,GBPUSD,1019,FUTCUR,XX,-1,GBPUSD,GBPUSD26JUN24F,GBPUSD JUN24 FUT,2024-06-26,1,0.0001
CDS,cde_fo,GBPINR,1020,OPTCUR,PE,95.25,GBPINR,GBPINR05JAN24P95.25,GBPINR 5th JAN24 95.25 PE,2024-01-05,1,0.0025
CDS,cde_fo,EURINR,1021,OPTCUR,CE,94.25,EURINR,EURINR12JAN24C94.25,EURINR 12th JAN24 94.25 CE,2024-01-12,1,0.0025
CDS,cde_fo,GBPINR,1022,FUTCUR,XX,-1,GBPINR,GBPINR26SEP24F,GBPINR 26th SEP24  FUT,2024-09-26,1,0.0025
CDS,cde_fo,JPYINR,1023,FUTCUR,XX,-1,JPYINR,JPYINR26JUN24F,JPYINR JUN24 FUT,2024-06-26,1,0.0025
CDS,cde_fo,GBPINR,1024,OPTCUR,CE,106.75,GBPINR,GBPINR29JAN24C106.75,GBPINR JAN24 106.75 CE,2024-01-29,1,0.0025
CDS,cde_fo,GBPUSD,1025,FUTCUR,XX,-1,GBPUSD,GBPUSD26SEP24F,GBPUSD 26th SEP24  FUT,2024-09-26,1,0.0001
CDS,cde_fo,USDINR,1026,FUTCUR,XX,-1,USDINR,USDINR26JUN24F,USDINR JUN24 FUT,2024-06-26,1,0.0025
CDS,cde_fo,EURUSD,1027,OPTCUR,CE,1.18,EURUSD,EURUSD29JAN24C1.18,EURUSD JAN24 1.18 CE,2024-01-29,1,0.0001
CDS,cde_fo,EURUSD,1028,OPTCUR,PE,1.18,EURUSD,EURUSD29JAN24P1.18,EURUSD JAN24 1.18 PE,2024-01-29,1,0.0001
CDS,cde_fo,EURINR,1029,FUTCUR,XX,-1,EURINR,EURINR27FEB24F,EURINR FEB24 FUT,2024-02-27,1,0.0025
CDS,cde_fo,USDJPY,1030,FUTCUR,XX,-1,USDJPY,USDJPY26JUN24F,USDJPY JUN24 FUT,2024-06-26,1,0.01
CDS,cde_fo,GBPINR,1032,OPTCUR,PE,106.75,GBPINR,GBPINR29JAN24P106.75,GBPINR JAN24 106.75 PE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1033,FUTCUR,XX,-1,EURINR,EURINR29MAY24F,EURINR MAY24 FUT,2024-05-29,1,0.0025
CDS,cde_fo,EURUSD,1034,FUTCUR,XX,-1,EURUSD,EURUSD29MAY24F,EURUSD MAY24 FUT,2024-05-29,1,0.0001
CDS,cde_fo,EURINR,1035,OPTCUR,CE,94,EURINR,EURINR22DEC23C94,EURINR 22nd DEC 94 CE,2023-12-22,1,0.0025
CDS,cde_fo,EURINR,1036,OPTCUR,PE,94,EURINR,EURINR22DEC23P94,EURINR 22nd DEC 94 PE,2023-12-22,1,0.0025
CDS,cde_fo,GBPINR,1037,OPTCUR,PE,111.75,GBPINR,GBPINR16FEB24P111.75,GBPINR 16th FEB24 111.75 PE,2024-02-16,1,0.0025
CDS,cde_fo,GBPINR,1038,OPTCUR,CE,107.75,GBPINR,GBPINR22DEC23C107.75,GBPINR 22nd DEC 107.75 CE,2023-12-22,1,0.0025
CDS,cde_fo,JPYINR,1040,OPTCUR,CE,51.25,JPYINR,JPYINR23FEB24C51.25,JPYINR 23rd FEB24 51.25 CE,2024-02-23,1,0.0025
CDS,cde_fo,JPYINR,1043,OPTCUR,PE,51.25,JPYINR,JPYINR23FEB24P51.25,JPYINR 23rd FEB24 51.25 PE,2024-02-23,1,0.0025
CDS,cde_fo,GBPINR,1046,OPTCUR,CE,107.25,GBPINR,GBPINR22DEC23C107.25,GBPINR 22nd DEC 107.25 CE,2023-12-22,1,0.0025
CDS,cde_fo,GBPINR,1047,OPTCUR,PE,107.75,GBPINR,GBPINR22DEC23P107.75,GBPINR 22nd DEC 107.75 PE,2023-12-22,1,0.0025
CDS,cde_fo,GBPINR,1049,OPTCUR,PE,107.25,GBPINR,GBPINR22DEC23P107.25,GBPINR 22nd DEC 107.25 PE,2023-12-22,1,0.0025
CDS,cde_fo,GBPINR,1050,FUTCUR,XX,-1,GBPINR,GBPINR29MAY24F,GBPINR MAY24 FUT,2024-05-29,1,0.0025
CDS,cde_fo,GBPINR,1051,FUTCUR,XX,-1,GBPINR,GBPINR27MAR24F,GBPINR MAR24 FUT,2024-03-27,1,0.0025
CDS,cde_fo,GBPUSD,1052,FUTCUR,XX,-1,GBPUSD,GBPUSD29MAY24F,GBPUSD MAY24 FUT,2024-05-29,1,0.0001
CDS,cde_fo,USDINR,1053,OPTCUR,CE,77,USDINR,USDINR22DEC23C77,USDINR 22nd DEC 77 CE,2023-12-22,1,0.0025
CDS,cde_fo,USDINR,1054,OPTCUR,PE,77,USDINR,USDINR22DEC23P77,USDINR 22nd DEC 77 PE,2023-12-22,1,0.0025
CDS,cde_fo,GBPUSD,1057,FUTCUR,XX,-1,GBPUSD,GBPUSD27MAR24F,GBPUSD MAR24 FUT,2024-03-27,1,0.0001
CDS,cde_fo,USDINR,1058,OPTCUR,CE,82.375,USDINR,USDINR22DEC23C82.375,USDINR 22nd DEC 82.375 CE,2023-12-22,1,0.0025
CDS,cde_fo,JPYINR,1059,FUTCUR,XX,-1,JPYINR,JPYINR27MAR24F,JPYINR MAR24 FUT,2024-03-27,1,0.0025
CDS,cde_fo,USDINR,1060,FUTCUR,XX,-1,USDINR,USDINR27MAR24F,USDINR MAR24 FUT,2024-03-27,1,0.0025
CDS,cde_fo,USDJPY,1061,FUTCUR,XX,-1,USDJPY,USDJPY27MAR24F,USDJPY MAR24 FUT,2024-03-27,1,0.01
CDS,cde_fo,EURINR,1062,OPTCUR,CE,82.75,EURINR,EURINR27MAR24C82.75,EURINR MAR24 82.75 CE,2024-03-27,1,0.0025
CDS,cde_fo,EURINR,1063,OPTCUR,CE,84.75,EURINR,EURINR09FEB24C84.75,EURINR 9th FEB24 84.75 CE,2024-02-09,1,0.0025
CDS,cde_fo,USDINR,1064,OPTCUR,PE,82.375,USDINR,USDINR22DEC23P82.375,USDINR 22nd DEC 82.375 PE,2023-12-22,1,0.0025
CDS,cde_fo,GBPINR,1066,OPTCUR,CE,107.5,GBPINR,GBPINR22DEC23C107.5,GBPINR 22nd DEC 107.5 CE,2023-12-22,1,0.0025
CDS,cde_fo,GBPINR,1067,OPTCUR,PE,107.5,GBPINR,GBPINR22DEC23P107.5,GBPINR 22nd DEC 107.5 PE,2023-12-22,1,0.0025
CDS,cde_fo,EURINR,1068,OPTCUR,PE,94.25,EURINR,EURINR12JAN24P94.25,EURINR 12th JAN24 94.25 PE,2024-01-12,1,0.0025
CDS,cde_fo,EURINR,1071,OPTCUR,CE,83.5,EURINR,EURINR26JUN24C83.5,EURINR JUN24 83.5 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1072,OPTCUR,CE,97.25,EURINR,EURINR09FEB24C97.25,EURINR 9th FEB24 97.25 CE,2024-02-09,1,0.0025
CDS,cde_fo,EURINR,1073,FUTCUR,XX,-1,EURINR,EURINR28AUG24F,EURINR AUG24 FUT,2024-08-28,1,0.0025
CDS,cde_fo,GBPINR,1074,OPTCUR,CE,107.25,GBPINR,GBPINR12JAN24C107.25,GBPINR 12th JAN24 107.25 CE,2024-01-12,1,0.0025
CDS,cde_fo,EURUSD,1075,FUTCUR,XX,-1,EURUSD,EURUSD28AUG24F,EURUSD AUG24 FUT,2024-08-28,1,0.0001
CDS,cde_fo,EURINR,1076,OPTCUR,PE,84.75,EURINR,EURINR09FEB24P84.75,EURINR 9th FEB24 84.75 PE,2024-02-09,1,0.0025
