Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,freeze_qty,Board Lot Qty
MCX,mcx_fo,GOLD,426473,OPTFUT,CE,63500,GOLD,GOLD24SEP24C63500,GOLD 24th SEP 63500 CE,2024-09-24,1,0.5,100.0,1
MCX,mcx_fo,GOLD,426474,OPTFUT,PE,63500,GOLD,GOLD24SEP24P63500,GOLD 24th SEP 63500 PE,2024-09-24,1,0.5,100.0,1
MCX,mcx_fo,SILVERM,426481,OPTFUT,CE,79500,SILVERM,SILVERM20NOV24C79500,SILVERM 20th NOV 79500 CE,2024-11-20,1,0.5,120.0,5
MCX,mcx_fo,SILVERM,426482,OPTFUT,PE,79500,SILVERM,SILVERM20NOV24P79500,SILVERM 20th NOV 79500 PE,2024-11-20,1,0.5,120.0,5
MCX,mcx_fo,GOLD,426533,OPTFUT,CE,63400,GOLD,GOLD24SEP24C63400,GOLD 24th SEP 63400 CE,2024-09-24,1,0.5,10.0,1
MCX,mcx_fo,GOLD,426534,OPTFUT,CE,63300,GOLD,GOLD24SEP24C63300,GOLD 24th SEP 63300 CE,2024-09-24,1,0.5,10.0,1
MCX,mcx_fo,GOLD,426535,OPTFUT,CE,63200,GOLD,GOLD24SEP24C63200,GOLD 24th SEP 63200 CE,2024-09-24,1,0.5,10.0,1
MCX,mcx_fo,GOLD,426536,OPTFUT,CE,63100,GOLD,GOLD24SEP24C63100,GOLD 24th SEP 63100 CE,2024-09-24,1,0.5,10.0,1
MCX,mcx_fo,GOLD,426537,OPTFUT,CE,63000,GOLD,GOLD24SEP24C63000,GOLD 24th SEP 63000 CE,2024-09-24,1,0.5,10.0,1
MCX,mcx_fo,GOLD,426538,OPTFUT,CE,62900,GOLD,GOLD24SEP24C62900,GOLD 24th SEP 62900 CE,2024-09-24,1,0.5,10.0,1
MCX,mcx_fo,GOLD,426539,OPTFUT,CE,62800,GOLD,GOLD24SEP24C62800,GOLD 24th SEP 62800 CE,2024-09-24,1,0.5,10.0,1
