Exch,Exchange Segment,Group Name,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Trading Symbol,Lot Size,Tick Size
NSE,nse_cm,EQ,011NSETEST,14747,0,011NSETEST,011NSETEST-EQ,011NSETEST-EQ,1,0.05
NSE,nse_cm,BE,GRPLTD,6549,0,GRP LIMITED,GRPLTD-BE,GRPLTD-BE,1,0.05
NSE,nse_cm,EQ,GROBTEA,17770,0,THE GROB TEA COMPANY LTD,GROBTEA-EQ,GROBTEA-EQ,1,0.05
NSE,nse_cm,EQ,GRMOVER,10871,0,GRM OVERSEAS LIMITED,GRMOVER-EQ,GRMOVER-EQ,1,0.05
NSE,nse_cm,EQ,GRINFRA,5054,0,G R INFRAPROJECTS LIMITED,GRINFRA-EQ,GRINFRA-EQ,1,0.05
NSE,nse_cm,EQ,GRINDWELL,13560,0,GRINDWELL NORTON LIMITED,GRINDWELL-EQ,GRINDWELL-EQ,1,0.05
NSE,nse_cm,ST,GRETEX,18742,0,GRETEX INDUSTRIES LTD.,GRETEX-ST,GRETEX-ST,3000,0.05
NSE,nse_cm,EQ,GREENPOWER,20110,0,ORIENT GREEN POWER CO LTD,GREENPOWER-EQ,GREENPOWER-EQ,1,0.01
NSE,nse_cm,EQ,GREENPLY,3987,0,GREENPLY INDUSTRIES LTD,GREENPLY-EQ,GREENPLY-EQ,1,0.05
NSE,nse_cm,EQ,GREENPANEL,13810,0,GREENPANEL INDUSTRIES LTD,GREENPANEL-EQ,GREENPANEL-EQ,1,0.05
NSE,nse_cm,EQ,GREENLAM,6848,0,GREENLAM INDUSTRIES LTD.,GREENLAM-EQ,GREENLAM-EQ,1,0.05
NSE,nse_cm,SM,GREENCHEF,17092,0,GREENCHEF APPLIANCES LTD,GREENCHEF-SM,GREENCHEF-SM,800,0.05
NSE,nse_cm,BE,GREEN-RE1,24918,0,ORIENT GREEN POWER CO LTD,GREEN-RE1-BE,GREEN-RE1-BE,1,0.01
NSE,nse_cm,EQ,GREAVESCOT,1235,0,GREAVES COTTON LTD.,GREAVESCOT-EQ,GREAVESCOT-EQ,1,0.01
NSE,nse_cm,SM,GRCL,14052,0,GAYATRI RUBB AND CHEM LTD,GRCL-SM,GRCL-SM,500,0.05
NSE,nse_cm,EQ,GRAVITA,20534,0,GRAVITA INDIA LIMITED,GRAVITA-EQ,GRAVITA-EQ,1,0.05
NSE,nse_cm,EQ,GRSE,5475,0,GARDEN REACH SHIP&ENG LTD,GRSE-EQ,GRSE-EQ,1,0.05
NSE,nse_cm,E1,GRASIMPP1,24767,0,GRASIM RE. 1 PPD UP,GRASIMPP1-E1,GRASIMPP1-E1,1,0.05
NSE,nse_cm,EQ,GRWRHITECH,7982,0,GARWARE HI-TECH FILMS LTD,GRWRHITECH-EQ,GRWRHITECH-EQ,1,0.05
NSE,nse_cm,EQ,GSLSU,14599,0,GLOBAL SURFACES LIMITED,GSLSU-EQ,GSLSU-EQ,1,0.01
NSE,nse_cm,EQ,GULFPETRO,11581,0,GP PETROLEUMS LIMITED,GULFPETRO-EQ,GULFPETRO-EQ,1,0.01
NSE,nse_cm,EQ,GULFOILLUB,4391,0,GULF OIL LUB. IND. LTD.,GULFOILLUB-EQ,GULFOILLUB-EQ,1,0.05
NSE,nse_cm,EQ,GUJRAFFIA,4548,0,GUJARAT RAFFIA INDUST LTD,GUJRAFFIA-EQ,GUJRAFFIA-EQ,1,0.01
NSE,nse_cm,EQ,GUJGASLTD,10599,0,GUJARAT GAS LIMITED,GUJGASLTD-EQ,GUJGASLTD-EQ,1,0.05
NSE,nse_cm,BE,GUJAPOLLO,14681,0,GUJ. APOLLO IND. LTD.,GUJAPOLLO-BE,GUJAPOLLO-BE,1,0.05
NSE,nse_cm,EQ,GUJALKALI,1267,0,GUJARAT ALKALIES & CHEM,GUJALKALI-EQ,GUJALKALI-EQ,1,0.05
NSE,nse_cm,EQ,GUFICBIO,11606,0,GUFIC BIOSCIENCES LTD.,GUFICBIO-EQ,GUFICBIO-EQ,1,0.05
NSE,nse_cm,EQ,GTPL,21195,0,GTPL HATHWAY LIMITED,GTPL-EQ,GTPL-EQ,1,0.01
NSE,nse_cm,EQ,GTLINFRA,13745,0,GTL INFRA.LTD,GTLINFRA-EQ,GTLINFRA-EQ,1,0.01
NSE,nse_cm,EQ,GTL,1162,0,GTL LTD,GTL-EQ,GTL-EQ,1,0.01
NSE,nse_cm,BE,GTECJAINX,1135,0,G-TEC JAINX EDUCATION LTD,GTECJAINX-BE,GTECJAINX-BE,1,0.01
NSE,nse_cm,ST,GSTL,9768,0,GLOBESECURE TECHNO LTD,GSTL-ST,GSTL-ST,1000,0.05
NSE,nse_cm,BE,GSS,15351,0,GSS INFOTECH LIMITED,GSS-BE,GSS-BE,1,0.01
NSE,nse_cm,EQ,GSPL,13197,0,GUJARAT STATE PETRO LTD,GSPL-EQ,GSPL-EQ,1,0.05
NSE,nse_cm,ST,GSMFOILS,23891,0,GSM FOILS LIMITED,GSMFOILS-ST,GSMFOILS-ST,4000,0.05
NSE,nse_cm,EQ,GSFC,1247,0,GUJ STATE FERT & CHEM LTD,GSFC-EQ,GSFC-EQ,1,0.01
NSE,nse_cm,EQ,GULPOLY,6286,0,GULSHAN POLYOLS LIMITED,GULPOLY-EQ,GULPOLY-EQ,1,0.01
NSE,nse_cm,EQ,GRASIM,1232,0,GRASIM INDUSTRIES LTD,GRASIM-EQ,GRASIM-EQ,1,0.05
NSE,nse_cm,SM,GRAPHISAD,20454,0,GRAPHISADS LIMITED,GRAPHISAD-SM,GRAPHISAD-SM,1200,0.05
NSE,nse_cm,EQ,GODREJPROP,17875,0,GODREJ PROPERTIES LTD,GODREJPROP-EQ,GODREJPROP-EQ,1,0.05
NSE,nse_cm,EQ,GODREJIND,10925,0,GODREJ INDUSTRIES LTD,GODREJIND-EQ,GODREJIND-EQ,1,0.05
NSE,nse_cm,EQ,GODREJCP,10099,0,GODREJ CONSUMER PRODUCTS,GODREJCP-EQ,GODREJCP-EQ,1,0.05
NSE,nse_cm,EQ,GODREJAGRO,144,0,GODREJ AGROVET LIMITED,GODREJAGRO-EQ,GODREJAGRO-EQ,1,0.05
NSE,nse_cm,EQ,GODIGIT,23799,0,GO DIGIT GENERAL INS LTD,GODIGIT-EQ,GODIGIT-EQ,1,0.05
NSE,nse_cm,BE,GODHA,1610,0,GODHA CABCON INSULAT LTD,GODHA-BE,GODHA-BE,1,0.01
NSE,nse_cm,EQ,GODFRYPHLP,1181,0,GODFREY PHILLIPS INDIA LT,GODFRYPHLP-EQ,GODFRYPHLP-EQ,1,0.05
NSE,nse_cm,EQ,GOCOLORS,6964,0,GO FASHION INDIA LTD,GOCOLORS-EQ,GOCOLORS-EQ,1,0.05
NSE,nse_cm,EQ,GOCLCORP,3963,0,GOCL CORPORATION LIMITED,GOCLCORP-EQ,GOCLCORP-EQ,1,0.05
NSE,nse_cm,EQ,GOACARBON,14687,0,GOA CARBON LIMITED,GOACARBON-EQ,GOACARBON-EQ,1,0.05
NSE,nse_cm,EQ,GNFC,1174,0,GUJ NAR VAL FER & CHEM L,GNFC-EQ,GNFC-EQ,1,0.05
NSE,nse_cm,EQ,GNA,18571,0,GNA AXLES LIMITED,GNA-EQ,GNA-EQ,1,0.05
NSE,nse_cm,EQ,GMRP&UI,8529,0,GMR POW AND URBAN INFRA L,GMRP&UI-EQ,GMRP&UI-EQ,1,0.01
NSE,nse_cm,EQ,GMRINFRA,13528,0,GMR AIRPORTS INFRA LTD,GMRINFRA-EQ,GMRINFRA-EQ,1,0.01
NSE,nse_cm,EQ,GMMPFAUDLR,1570,0,GMM PFAUDLER LIMITED,GMMPFAUDLR-EQ,GMMPFAUDLR-EQ,1,0.05
NSE,nse_cm,BZ,GOENKA,5010,0,GOENKA DIAMOND&JEWELS LTD,GOENKA-BZ,GOENKA-BZ,1,0.01
