pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6530,XX,cde_fo,OPTCUR,GBPINR,GBPINR24607107.25PE,PE,GBPINR24607107.25PE,,26,,,,,,25000,1,1402237800,1000,4,1.0725e+09,CDS,OPTCUR,1402237800,,1402210800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1402185600,1402237800,,,,,,315513000,0,1,0,1,0,4.94e+07,3.15e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
6531,XX,cde_fo,OPTCUR,USDINR,USDINR2453182CE,CE,USDINR2453182CE,,1,,,,,,25000,1,1401633000,1000,4,8.2e+08,CDS,OPTCUR,1401633000,,1401606000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1401580800,1401633000,,,,,,315513000,0,1,0,1,0,1.845e+07,1.21e+07,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6539,XX,cde_fo,OPTCUR,GBPINR,GBPINR24607107.5CE,CE,GBPINR24607107.5CE,,26,,,,,,25000,1,1402237800,1000,4,1.075e+09,CDS,OPTCUR,1402237800,,1402210800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1402185600,1402237800,,,,,,315513000,0,1,0,1,0,3.875e+06,975000,1,1,1,0,0,1,0,1e+12,1.25,0,10000
6540,XX,cde_fo,OPTCUR,JPYINR,JPYINR2461457.75CE,CE,JPYINR2461457.75CE,,27,,,,,,25000,1,1402842600,1000,4,5.775e+08,CDS,OPTCUR,1402842600,,1402815600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1402790400,1402842600,,,,,,315513000,0,1,0,1,0,1.5e+06,350000,1,1,1,0,0,1,0,1e+12,1.25,0,10000
6541,XX,cde_fo,OPTCUR,JPYINR,JPYINR2461457.75PE,PE,JPYINR2461457.75PE,,27,,,,,,25000,1,1402842600,1000,4,5.775e+08,CDS,OPTCUR,1402842600,,1402815600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1402790400,1402842600,,,,,,315513000,0,1,0,1,0,4.025e+07,2.835e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
1,XX,cde_fo,UNDCUR,USDINR,USDINR,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,UNDCUR,-1,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,4.623e+08,3.78225e+08,1,1,1,0,0,1,0,1e+12,0.5,0,999
2,XX,cde_fo,INDEX,NIFTY,NIFTY50,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,INDEX,-1,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.10002e+09,9e+08,1,1,2,0,0,1,0,1e+12,0,0,7000
3,XX,cde_fo,UNDIRC,883GS2023,GOI8.83%2023,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,UNDIRC,-1,,1385389800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.1e+09,9e+08,1,1,2,0,883,1,0,1e+12,0,0,1250
4,XX,cde_fo,UNDIRC,840GS2024,GOI8.40%2024,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,UNDIRC,-1,,1406644200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.1e+09,9e+08,1,1,2,0,840,1,0,1e+12,0,0,1250
5,XX,cde_fo,INDEX,NIFTYFUTM1,NIFTYFUTURESNEARMONTH,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,INDEX,-1,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.10002e+09,9e+08,1,1,2,0,0,1,0,1e+12,0,0,7000
