"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"4867","OPTCUR","EURINR","OPTION","26-Sep-2024",98.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0125,0.0475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.4775,"EURINR"
"6306","OPTCUR","JPYINR","OPTION","27-Dec-2024",65.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.015,0.045,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.4225,"JPYINR"
"6293","OPTCUR","JPYINR","OPTION","27-Dec-2024",64.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.025,0.055,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.5175,"JPYINR"
"4963","OPTCUR","EURINR","OPTION","27-Dec-2024",98.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.6525,8.0275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.76,"EURINR"
"6307","OPTCUR","JPYINR","OPTION","27-Dec-2024",65.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",9.245,10.475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.6475,"JPYINR"
"6297","OPTCUR","JPYINR","OPTION","27-Dec-2024",64.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",9.0075,10.2325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.51,"JPYINR"
"4949","OPTCUR","EURINR","OPTION","27-Dec-2024",98.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.18,0.34,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.175,"EURINR"
"1266","OPTCUR","EURINR","OPTION","26-Jun-2024",85.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"EURINR"
"1526","OPTCUR","EURINR","OPTION","26-Jun-2024",91.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.14,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.055,"EURINR"
"1471","OPTCUR","EURINR","OPTION","26-Jun-2024",89.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0775,0.9925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.535,"EURINR"
