Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1136491,1500,WIPROPT,WIPRO24NOV585PE,14-NOV-2024,OPTSTK,PE,585,0.05,
BFO,1136452,1500,WIPROPT,WIPRO24NOV580PE,14-NOV-2024,OPTSTK,PE,580,0.05,
BFO,1125866,1500,WIPROPT,WIPRO24NOV575PE,14-NOV-2024,OPTSTK,PE,575,0.05,
BFO,1125427,1500,WIPROPT,WIPRO24NOV570PE,14-NOV-2024,OPTSTK,PE,570,0.05,
BFO,1125600,1500,WIPROPT,WIPRO24NOV565PE,14-NOV-2024,OPTSTK,PE,565,0.05,
BFO,1122790,1500,WIPROPT,WIPRO24NOV560PE,14-NOV-2024,OPTSTK,PE,560,0.05,
BFO,1122146,1500,WIPROPT,WIPRO24NOV555PE,14-NOV-2024,OPTSTK,PE,555,0.05,
BFO,1121555,1500,WIPROPT,WIPRO24NOV550PE,14-NOV-2024,OPTSTK,PE,550,0.05,
BFO,1121849,1500,WIPROPT,WIPRO24NOV545PE,14-NOV-2024,OPTSTK,PE,545,0.05,
BFO,1121822,1500,WIPROPT,WIPRO24NOV540PE,14-NOV-2024,OPTSTK,PE,540,0.05,
BFO,1121554,1500,WIPROPT,WIPRO24NOV535PE,14-NOV-2024,OPTSTK,PE,535,0.05,
BFO,1121013,1500,WIPROPT,WIPRO24NOV530PE,14-NOV-2024,OPTSTK,PE,530,0.05,
BFO,1119631,1500,WIPROPT,WIPRO24NOV525PE,14-NOV-2024,OPTSTK,PE,525,0.05,
BFO,1118127,1500,WIPROPT,WIPRO24NOV520PE,14-NOV-2024,OPTSTK,PE,520,0.05,
BFO,1112292,1500,WIPROPT,WIPRO24NOV515PE,14-NOV-2024,OPTSTK,PE,515,0.05,
BFO,1112036,1500,WIPROPT,WIPRO24NOV510PE,14-NOV-2024,OPTSTK,PE,510,0.05,
BFO,1114572,1500,WIPROPT,WIPRO24NOV505PE,14-NOV-2024,OPTSTK,PE,505,0.05,
BFO,1114367,1500,WIPROPT,WIPRO24NOV500PE,14-NOV-2024,OPTSTK,PE,500,0.05,
BFO,1115639,1500,WIPROPT,WIPRO24NOV495PE,14-NOV-2024,OPTSTK,PE,495,0.05,
BFO,1115436,1500,WIPROPT,WIPRO24NOV490PE,14-NOV-2024,OPTSTK,PE,490,0.05,
BFO,1117208,1500,WIPROPT,WIPRO24NOV485PE,14-NOV-2024,OPTSTK,PE,485,0.05,
BFO,1117012,1500,WIPROPT,WIPRO24NOV480PE,14-NOV-2024,OPTSTK,PE,480,0.05,
BFO,1111009,1500,WIPROPT,WIPRO24NOV475PE,14-NOV-2024,OPTSTK,PE,475,0.05,
BFO,1110792,1500,WIPROPT,WIPRO24NOV470PE,14-NOV-2024,OPTSTK,PE,470,0.05,
BFO,1113071,1500,WIPROPT,WIPRO24NOV465PE,14-NOV-2024,OPTSTK,PE,465,0.05,
BFO,1112747,1500,WIPROPT,WIPRO24NOV460PE,14-NOV-2024,OPTSTK,PE,460,0.05,
BFO,1115149,1500,WIPROPT,WIPRO24NOV455PE,14-NOV-2024,OPTSTK,PE,455,0.05,
BFO,1114946,1500,WIPROPT,WIPRO24NOV450PE,14-NOV-2024,OPTSTK,PE,450,0.05,
BFO,1136217,1500,WIPROPT,WIPRO24NOV585CE,14-NOV-2024,OPTSTK,CE,585,0.05,
BFO,1136160,1500,WIPROPT,WIPRO24NOV580CE,14-NOV-2024,OPTSTK,CE,580,0.05,
BFO,1126141,1500,WIPROPT,WIPRO24NOV575CE,14-NOV-2024,OPTSTK,CE,575,0.05,
BFO,1125655,1500,WIPROPT,WIPRO24NOV570CE,14-NOV-2024,OPTSTK,CE,570,0.05,
BFO,1125486,1500,WIPROPT,WIPRO24NOV565CE,14-NOV-2024,OPTSTK,CE,565,0.05,
BFO,1122651,1500,WIPROPT,WIPRO24NOV560CE,14-NOV-2024,OPTSTK,CE,560,0.05,
BFO,1122466,1500,WIPROPT,WIPRO24NOV555CE,14-NOV-2024,OPTSTK,CE,555,0.05,
BFO,1121920,1500,WIPROPT,WIPRO24NOV550CE,14-NOV-2024,OPTSTK,CE,550,0.05,
BFO,1121640,1500,WIPROPT,WIPRO24NOV545CE,14-NOV-2024,OPTSTK,CE,545,0.05,
BFO,1121613,1500,WIPROPT,WIPRO24NOV540CE,14-NOV-2024,OPTSTK,CE,540,0.05,
BFO,1121919,1500,WIPROPT,WIPRO24NOV535CE,14-NOV-2024,OPTSTK,CE,535,0.05,
BFO,1121331,1500,WIPROPT,WIPRO24NOV530CE,14-NOV-2024,OPTSTK,CE,530,0.05,
BFO,1119409,1500,WIPROPT,WIPRO24NOV525CE,14-NOV-2024,OPTSTK,CE,525,0.05,
BFO,1113938,1500,WIPROPT,WIPRO24NOV520CE,14-NOV-2024,OPTSTK,CE,520,0.05,
BFO,1115927,1500,WIPROPT,WIPRO24NOV515CE,14-NOV-2024,OPTSTK,CE,515,0.05,
BFO,1115749,1500,WIPROPT,WIPRO24NOV510CE,14-NOV-2024,OPTSTK,CE,510,0.05,
BFO,1117520,1500,WIPROPT,WIPRO24NOV505CE,14-NOV-2024,OPTSTK,CE,505,0.05,
BFO,1117333,1500,WIPROPT,WIPRO24NOV500CE,14-NOV-2024,OPTSTK,CE,500,0.05,
BFO,1118487,1500,WIPROPT,WIPRO24NOV495CE,14-NOV-2024,OPTSTK,CE,495,0.05,
BFO,1118324,1500,WIPROPT,WIPRO24NOV490CE,14-NOV-2024,OPTSTK,CE,490,0.05,
BFO,1112537,1500,WIPROPT,WIPRO24NOV485CE,14-NOV-2024,OPTSTK,CE,485,0.05,
BFO,1112313,1500,WIPROPT,WIPRO24NOV480CE,14-NOV-2024,OPTSTK,CE,480,0.05,
