Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,976104,1,797MPL27,797MPL27,F,0.01,
BSE,976103,1,799MPL26A,799MPL26A,F,0.01,
BSE,976102,1,799MPL26,799MPL26,F,0.01,
BSE,976101,1,1340KCPL30,1340KCPL30,F,0.01,
BSE,976100,1,79611HDB28,79611HDB28,F,0.01,
BSE,976099,1,11ADPL27,11ADPL27,F,0.01,
BSE,976098,1,95HHFL39,95HHFL39,F,0.01,
BSE,976097,1,1050IML26,1050IML26,F,0.01,
BSE,976096,1,1050HFL30,1050HFL30,F,0.01,
BSE,976095,1,1025HFL27,1025HFL27,F,0.01,
BSE,976094,1,925SFL027,925SFL027,F,0.01,
BSE,976093,1,1050AFP27,1050AFP27,F,0.01,
BSE,976092,1,791ABFL34,791ABFL34,F,0.01,
BSE,976091,1,78BFL27,78BFL27,F,0.01,
BSE,976090,1,949KIIFB34,949KIIFB34,F,0.01,
BSE,976089,1,949KIIFB33,949KIIFB33,F,0.01,
BSE,976088,1,949KIIFB32,949KIIFB32,F,0.01,
BSE,976087,1,949KIIFB31,949KIIFB31,F,0.01,
BSE,976086,1,949KIIFB30,949KIIFB30,F,0.01,
BSE,976085,1,949KIIFB29,949KIIFB29,F,0.01,
BSE,976084,1,949KIIFB28,949KIIFB28,F,0.01,
BSE,976083,1,824MMFSL34,824MMFSL34,F,0.01,
BSE,976082,1,940AVFSL27,940AVFSL27,F,0.01,
BSE,976081,1,ICLF041024,ICLF041024,F,0.01,
BSE,976080,1,ICL041024,ICL041024,F,0.01,
BSE,976079,1,1225ICL28,1225ICL28,F,0.01,
BSE,976078,1,825CIFCL29,825CIFCL29,F,0.01,
BSE,976077,1,7781KMPL29,7781KMPL29,F,0.01,
BSE,976076,1,770BF41034,770BF41034,F,0.01,
BSE,976075,1,756BHFL34,756BHFL34,F,0.01,
BSE,976074,1,11IFSPL27,11IFSPL27,F,0.01,
BSE,976073,100000,885SAT29,885SAT29,F,0.01,
BSE,976072,1,945PLKIG27,945PLKIG27,F,0.01,
BSE,976071,100000,940PL25728,940PL25728,F,0.01,
BSE,976070,1,945PLKIG25,945PLKIG25,F,0.01,
BSE,976069,1,940AKCFL27,940AKCFL27,F,0.01,
BSE,976068,1,915AFPL027,915AFPL027,F,0.01,
BSE,976067,1,10SGHPL28,10SGHPL28,F,0.01,
BSE,976066,1,0RL34,0RL34,F,0.01,
BSE,976065,1,935AAHL28,935AAHL28,F,0.01,
