Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,440903,5,100,COTTONOIL,COTTONOIL29NOV24,29-NOV-2024,FUTCOM,XX,0,0.1,
MCX,440904,5,100,COTTONOIL,COTTONOIL31DEC24,31-DEC-2024,FUTCOM,XX,0,0.1,
MCX,440905,5,100,COTTONOIL,COTTONOIL31JAN25,31-JAN-2025,FUTCOM,XX,0,0.1,
MCX,437922,250,1,NATGASMINI,NATGASMINI24OCT24P270,24-OCT-2024,OPTFUT,PE,270,0.05,
MCX,437923,250,1,NATGASMINI,NATGASMINI24OCT24P275,24-OCT-2024,OPTFUT,PE,275,0.05,
MCX,437924,250,1,NATGASMINI,NATGASMINI24OCT24P280,24-OCT-2024,OPTFUT,PE,280,0.05,
MCX,437925,250,1,NATGASMINI,NATGASMINI24OCT24P285,24-OCT-2024,OPTFUT,PE,285,0.05,
MCX,437926,250,1,NATGASMINI,NATGASMINI24OCT24P290,24-OCT-2024,OPTFUT,PE,290,0.05,
MCX,437927,250,1,NATGASMINI,NATGASMINI24OCT24P295,24-OCT-2024,OPTFUT,PE,295,0.05,
MCX,437928,250,1,NATGASMINI,NATGASMINI24OCT24P300,24-OCT-2024,OPTFUT,PE,300,0.05,
MCX,438067,250,1,NATGASMINI,NATGASMINI24OCT24C145,24-OCT-2024,OPTFUT,CE,145,0.05,
MCX,438070,250,1,NATGASMINI,NATGASMINI24OCT24P145,24-OCT-2024,OPTFUT,PE,145,0.05,
MCX,438147,250,1,NATGASMINI,NATGASMINI24OCT24C140,24-OCT-2024,OPTFUT,CE,140,0.05,
MCX,438150,250,1,NATGASMINI,NATGASMINI24OCT24P140,24-OCT-2024,OPTFUT,PE,140,0.05,
MCX,438338,250,1,NATGASMINI,NATGASMINI24OCT24C135,24-OCT-2024,OPTFUT,CE,135,0.05,
MCX,438339,250,1,NATGASMINI,NATGASMINI24OCT24P135,24-OCT-2024,OPTFUT,PE,135,0.05,
MCX,438388,250,1,NATGASMINI,NATGASMINI24OCT24C305,24-OCT-2024,OPTFUT,CE,305,0.05,
MCX,438389,250,1,NATGASMINI,NATGASMINI24OCT24P305,24-OCT-2024,OPTFUT,PE,305,0.05,
MCX,438421,250,1,NATGASMINI,NATGASMINI24OCT24C310,24-OCT-2024,OPTFUT,CE,310,0.05,
MCX,438422,250,1,NATGASMINI,NATGASMINI24OCT24P310,24-OCT-2024,OPTFUT,PE,310,0.05,
MCX,438897,250,1,NATGASMINI,NATGASMINI21NOV24C255,21-NOV-2024,OPTFUT,CE,255,0.05,
MCX,438898,250,1,NATGASMINI,NATGASMINI21NOV24P255,21-NOV-2024,OPTFUT,PE,255,0.05,
