Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,Isin,TickSize,
BSE,199179,1,LIQU03INAV,LIQU03INAV,F,INF740KA1UM0,0.01,
BSE,199178,1,GOLDINAV,GOLDINAV,E,INF0R8F01042,0.01,
BSE,199177,1,SMALINAV,SMALINAV,B,INF769K01LC3,0.01,
BSE,199176,1,LICNINAV,LICNINAV,B,INF767K01RN1,0.01,
BSE,199175,1,HDFC04INAV,HDFC04INAV,B,INF179KC1HW4,0.01,
BSE,199174,1,HEALINAV,HEALINAV,B,INF740KA1UF4,0.01,
BSE,199173,1,NIF5INAV,NIF5INAV,F,INF789F1AZE6,0.01,
BSE,199172,1,NIF1INAV,NIF1INAV,F,INF789F1AZF3,0.01,
BSE,199171,1,NIFIINAV,NIFIINAV,B,INF789F1AZD8,0.01,
BSE,199170,1,NIFTINAV,NIFTINAV,B,INF0QA701722,0.01,
BSE,199169,1,BANK01INAV,BANK01INAV,B,INF0QA701714,0.01,
BSE,199168,1,LIQU02INAV,LIQU02INAV,F,INF0R8F01034,0.01,
BSE,199167,1,BBNPINAV,BBNPINAV,E,INF251K01SU9,0.01,
BSE,199166,1,LIQU01INAV,LIQU01INAV,F,INF200KA13Z8,0.01,
BSE,199165,1,ITETINAV,ITETINAV,B,INF769K01KV5,0.01,
BSE,199164,1,ALPHINAV,ALPHINAV,B,INF769K01KU7,0.01,
BSE,199163,1,SENSINAV,SENSINAV,B,INF769K01KT9,0.01,
BSE,199162,1,NAVIINAV,NAVIINAV,B,INF959L01HI3,0.01,
BSE,199161,1,NIFMINAV,NIFMINAV,B,INF789F1AYX9,0.01,
BSE,199160,1,HDFC03INAV,HDFC03INAV,F,INF179KC1HE2,0.01,
BSE,199159,1,ICIC03INAV,ICIC03INAV,B,INF109KC15T5,0.01,
BSE,199158,1,DSPP01INAV,DSPP01INAV,B,INF740KA1SY9,0.01,
BSE,199157,1,DSPSINAV,DSPSINAV,B,INF740KA1SZ6,0.01,
BSE,199156,1,DSPPINAV,DSPPINAV,B,INF740KA1TA7,0.01,
BSE,199155,1,LIQUINAV,LIQUINAV,F,INF769K01KS1,0.01,
BSE,199154,1,BANKINAV,BANKINAV,B,INF769K01KR3,0.01,
BSE,199153,1,DSPIINAV,DSPIINAV,B,INF740KA1SX1,0.01,
BSE,199152,1,MASIINAV,MASIINAV,E,INF769K01KG6,0.01,
BSE,199151,1,DSPGINAV,DSPGINAV,E,INF740KA1SW3,0.01,
BSE,199150,1,SILVINAV,SILVINAV,E,INF789F1AYK6,0.01,
BSE,199149,1,MAGSINAV,MAGSINAV,F,INF769K01KF8,0.01,
BSE,199148,1,MANVINAV,MANVINAV,B,INF769K01JU9,0.01,
BSE,199147,1,AXISINAV,AXISINAV,B,INF846K010Q0,0.01,
BSE,199146,1,ABSLINAV,ABSLINAV,F,INF209KB18T9,0.01,
BSE,199145,1,PSUBINAV,PSUBINAV,B,INF109KC10S8,0.01,
BSE,199144,1,MAGOINAV,MAGOINAV,E,INF769K01JP9,0.01,
BSE,199143,1,HDFC02INAV,HDFC02INAV,B,INF179KC1FA4,0.01,
BSE,199142,1,HDFC01INAV,HDFC01INAV,B,INF179KC1FB2,0.01,
BSE,199141,1,HDFCINAV,HDFCINAV,B,INF179KC1EZ4,0.01,
BSE,199140,1,DSPBINAV,DSPBINAV,B,INF740KA1RX3,0.01,
BSE,199139,1,ICIC02INAV,ICIC02INAV,B,INF109KC19O8,0.01,
BSE,199138,1,ICIC01INAV,ICIC01INAV,F,INF109KC18O0,0.01,
BSE,199137,1,EBBEINAV,EBBEINAV,F,INF754K01QX0,0.01,
BSE,199136,1,ICICINAV,ICICINAV,B,INF109KC17L8,0.01,
BSE,199135,1,HDFCNITINAV,HDFCNITINAV,B,INF179KC1DX1,0.01,
BSE,199134,1,HDFCBANINAV,HDFCBANINAV,B,INF179KC1DW3,0.01,
BSE,199133,1,HDFCLOLINAV,HDFCLOLINAV,B,INF179KC1DN2,0.01,
BSE,199132,1,HDFMOMEINAV,HDFMOMEINAV,B,INF179KC1DM4,0.01,
BSE,199131,1,HDFVALUINAV,HDFVALUINAV,B,INF179KC1DK8,0.01,
BSE,199130,1,HDFGROWINAV,HDFGROWINAV,B,INF179KC1DJ0,0.01,
BSE,199129,1,HDFQUALINAV,HDFQUALINAV,B,INF179KC1DL6,0.01,
