Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NCX,TMCFGRNZM18OCT2024,5,10,TMCFGRNZM,TMCFGRNZM18OCT2024,18-OCT-2024,FUTCOM,XX,-0.01,2,
NCX,TMCFGRNZM20AUG2024,5,10,TMCFGRNZM,TMCFGRNZM20AUG2024,20-AUG-2024,FUTCOM,XX,-0.01,2,
NCX,TMCFGRNZM20JUN2024,5,10,TMCFGRNZM,TMCFGRNZM20JUN2024,20-JUN-2024,FUTCOM,XX,-0.01,2,
NCX,SUNOIL31JUL2024,5,100,SUNOIL,SUNOIL31JUL2024,31-JUL-2024,FUTCOM,XX,-0.01,0.1,
NCX,SUNOIL28JUN2024,5,100,SUNOIL,SUNOIL28JUN2024,28-JUN-2024,FUTCOM,XX,-0.01,0.1,
NCX,SUNOIL31MAY2024,5,100,SUNOIL,SUNOIL31MAY2024,31-MAY-2024,FUTCOM,XX,-0.01,0.1,
NCX,SUNOIL30APR2024,5,100,SUNOIL,SUNOIL30APR2024,30-APR-2024,FUTCOM,XX,-0.01,0.1,
NCX,STEEL19JUL2024,10,1,STEEL,STEEL19JUL2024,19-JUL-2024,FUTCOM,XX,-0.01,10,
NCX,STEEL20JUN2024,10,1,STEEL,STEEL20JUN2024,20-JUN-2024,FUTCOM,XX,-0.01,10,
NCX,STEEL20MAY2024,10,1,STEEL,STEEL20MAY2024,20-MAY-2024,FUTCOM,XX,-0.01,10,
NCX,SESAMESEED19JUL2024,5,10,SESAMESEED,SESAMESEED19JUL2024,19-JUL-2024,FUTCOM,XX,-0.01,5,
NCX,SESAMESEED20JUN2024,5,10,SESAMESEED,SESAMESEED20JUN2024,20-JUN-2024,FUTCOM,XX,-0.01,5,
NCX,SESAMESEED20MAY2024,5,10,SESAMESEED,SESAMESEED20MAY2024,20-MAY-2024,FUTCOM,XX,-0.01,5,
NCX,MAIZE19JUL2024,10,10,MAIZE,MAIZE19JUL2024,19-JUL-2024,FUTCOM,XX,-0.01,1,
NCX,MAIZE20JUN2024,10,10,MAIZE,MAIZE20JUN2024,20-JUN-2024,FUTCOM,XX,-0.01,1,
NCX,MAIZE20MAY2024,10,10,MAIZE,MAIZE20MAY2024,20-MAY-2024,FUTCOM,XX,-0.01,1,
NCX,KAPAS30APR2025,1,200,KAPAS,KAPAS30APR2025,30-APR-2025,FUTCOM,XX,-0.01,0.5,
NCX,KAPAS28FEB2025,1,200,KAPAS,KAPAS28FEB2025,28-FEB-2025,FUTCOM,XX,-0.01,0.5,
NCX,KAPAS29NOV2024,1,200,KAPAS,KAPAS29NOV2024,29-NOV-2024,FUTCOM,XX,-0.01,0.5,
NCX,KAPAS30APR2024,1,200,KAPAS,KAPAS30APR2024,30-APR-2024,FUTCOM,XX,-0.01,0.5,
NCX,JEERAUNJHA20AUG2024,3,10,JEERAUNJHA,JEERAUNJHA20AUG2024,20-AUG-2024,FUTCOM,XX,-0.01,5,
NCX,JEERAUNJHA19JUL2024,3,10,JEERAUNJHA,JEERAUNJHA19JUL2024,19-JUL-2024,FUTCOM,XX,-0.01,5,
NCX,JEERAUNJHA20JUN2024,3,10,JEERAUNJHA,JEERAUNJHA20JUN2024,20-JUN-2024,FUTCOM,XX,-0.01,5,
NCX,JEERAUNJHA20MAY2024,3,10,JEERAUNJHA,JEERAUNJHA20MAY2024,20-MAY-2024,FUTCOM,XX,-0.01,5,
NCX,JEERAMINI20AUG2024,1,10,JEERAMINI,JEERAMINI20AUG2024,20-AUG-2024,FUTCOM,XX,-0.01,5,
NCX,JEERAMINI19JUL2024,1,10,JEERAMINI,JEERAMINI19JUL2024,19-JUL-2024,FUTCOM,XX,-0.01,5,
NCX,JEERAMINI20JUN2024,1,10,JEERAMINI,JEERAMINI20JUN2024,20-JUN-2024,FUTCOM,XX,-0.01,5,
NCX,JEERAMINI20MAY2024,1,10,JEERAMINI,JEERAMINI20MAY2024,20-MAY-2024,FUTCOM,XX,-0.01,5,
NCX,ISABGOL20AUG2024,3,10,ISABGOL,ISABGOL20AUG2024,20-AUG-2024,FUTCOM,XX,-0.01,5,
NCX,ISABGOL19JUL2024,3,10,ISABGOL,ISABGOL19JUL2024,19-JUL-2024,FUTCOM,XX,-0.01,5,
NCX,ISABGOL20JUN2024,3,10,ISABGOL,ISABGOL20JUN2024,20-JUN-2024,FUTCOM,XX,-0.01,5,
