Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,Isin,TickSize,
NSE,17635,1,ZYDUSWELL,ZYDUSWELL-EQ,EQ,INE768C01010,0.05,
NSE,7929,1,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,INE010B01027,0.05,
NSE,3827,1,ZUARIIND,ZUARIIND-EQ,EQ,INE217A01012,0.05,
NSE,29050,1,ZUARI,ZUARI-EQ,EQ,INE840M01016,0.05,
NSE,11394,1,ZOTA,ZOTA-EQ,EQ,INE358U01012,0.05,
NSE,5097,1,ZOMATO,ZOMATO-EQ,EQ,INE758T01015,0.05,
NSE,3821,1,ZODIACLOTH,ZODIACLOTH-EQ,EQ,INE206B01013,0.05,
NSE,7138,1,ZODIAC,ZODIAC-BE,BE,INE761Y01019,0.05,
NSE,12384,1,ZIMLAB,ZIMLAB-EQ,EQ,INE518E01015,0.05,
NSE,16915,1,ZFCVINDIA,ZFCVINDIA-EQ,EQ,INE342J01019,0.05,
NSE,7508,1,ZENTEC,ZENTEC-EQ,EQ,INE251B01027,0.05,
NSE,1076,1,ZENSARTECH,ZENSARTECH-EQ,EQ,INE520A01027,0.05,
NSE,14562,1,ZENITHSTL,ZENITHSTL-EQ,EQ,INE318D01020,0.05,
NSE,4176,1,ZENITHEXPO,ZENITHEXPO-EQ,EQ,INE058B01018,0.05,
NSE,22803,1600,ZENITHDRUG,ZENITHDRUG-SM,SM,INE0QWN01013,0.05,
NSE,14003,1,ZEEMEDIA,ZEEMEDIA-EQ,EQ,INE966H01019,0.05,
NSE,20856,1,ZEELEARN,ZEELEARN-BE,BE,INE565L01011,0.05,
NSE,3812,1,ZEEL,ZEEL-EQ,EQ,INE256A01028,0.05,
NSE,17766,600,ZEAL,ZEAL-SM,SM,INE0PPS01018,0.05,
NSE,18608,1,ZAGGLE,ZAGGLE-EQ,EQ,INE07K301024,0.05,
NSE,5501,1,YUKEN,YUKEN-EQ,EQ,INE384C01016,0.05,
NSE,18040,800,YUDIZ,YUDIZ-SM,SM,INE09FA01019,0.05,
NSE,11915,1,YESBANK,YESBANK-EQ,EQ,INE528G01035,0.05,
NSE,17627,3000,YCCL,YCCL-SM,SM,INE08S201019,0.05,
NSE,18760,1,YATRA,YATRA-EQ,EQ,INE0JR601024,0.05,
NSE,17738,1,YATHARTH,YATHARTH-EQ,EQ,INE0JO301016,0.05,
NSE,23458,1600,YASHOPTICS,YASHOPTICS-ST,ST,INE0TO601017,0.05,
NSE,18131,1,YASHO,YASHO-EQ,EQ,INE616Z01012,0.05,
NSE,25003,1,YAARI,YAARI-BE,BE,INE126M01010,0.05,
NSE,11407,1,XPROINDIA,XPROINDIA-EQ,EQ,INE445C01015,0.05,
NSE,8478,1,XELPMOC,XELPMOC-BE,BE,INE01P501012,0.05,
NSE,11705,1,XCHANGING,XCHANGING-EQ,EQ,INE692G01013,0.05,
NSE,22725,1000,WTICAB,WTICAB-SM,SM,INE623Y01011,0.05,
NSE,3799,1,WSTCSTPAPR,WSTCSTPAPR-EQ,EQ,INE976A01021,0.05,
NSE,14828,1,WSI,WSI-EQ,EQ,INE100D01014,0.05,
NSE,22277,1,WORTH,WORTH-EQ,EQ,INE196Y01018,0.05,
NSE,3002,1,WONDERLA,WONDERLA-EQ,EQ,INE066O01014,0.05,
NSE,19627,1600,WOMANCART,WOMANCART-SM,SM,INE0Q9601016,0.05,
NSE,7497,1,WOCKPHARMA,WOCKPHARMA-BE,BE,INE049B01025,0.05,
NSE,3787,1,WIPRO,WIPRO-EQ,EQ,INE075A01022,0.05,
NSE,20481,1,WIPL,WIPL-EQ,EQ,INE215F01023,0.05,
NSE,25045,1,WINSOME,WINSOME-BE,BE,INE784B01035,0.05,
NSE,24969,1,WINDMACHIN,WINDMACHIN-EQ,EQ,INE052A01021,0.05,
NSE,5366,1,WINDLAS,WINDLAS-EQ,EQ,INE0H5O01029,0.05,
NSE,3772,1,WILLAMAGOR,WILLAMAGOR-EQ,EQ,INE210A01017,0.05,
NSE,18011,1,WHIRLPOOL,WHIRLPOOL-EQ,EQ,INE716A01013,0.05,
NSE,3766,1,WHEELS,WHEELS-EQ,EQ,INE715A01015,0.05,
NSE,9865,1,WEWIN,WEWIN-BE,BE,INE082W01014,0.05,
NSE,11580,1,WESTLIFE,WESTLIFE-EQ,EQ,INE274F01020,0.05,
NSE,4235,1,WENDT,WENDT-EQ,EQ,INE274C01019,0.05,
NSE,11253,1,WELSPUNLIV,WELSPUNLIV-EQ,EQ,INE192B01031,0.05,
